"year","region_id","region_name","region_ons_code","link_length_km","link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","LGVs","all_HGVs","all_motor_vehicles"
1993,1,"South West","E12000009",48752,30293,2.28e+08,289900000,19674300000,2.45e+08,2351700000,1295600000,23856600000
1993,2,"East Midlands","E12000004",30682,19065,199700000,172800000,16200200000,190100000,2082200000,1647100000,20292400000
1993,3,"Scotland","S92000003",58533,36371,147300000,126400000,17677600000,334300000,2.231e+09,1339900000,21709300000
1993,4,"Wales","W92000004",32544,20222,81700000,104600000,11278800000,156300000,1452700000,735200000,13727600000
1993,5,"North West","E12000002",35953,22340,251400000,199200000,2.373e+10,339800000,2801800000,1834400000,28905200000
1993,6,"London","E12000007",14350,8917,272100000,358200000,15882500000,273400000,1928600000,640900000,19083500000
1993,7,"East of England","E12000006",38708,24052,365600000,270100000,22996100000,254800000,2976400000,1741100000,28238400000
1993,8,"Yorkshire and The Humber","E12000003",31097,19323,231400000,171200000,1.6876e+10,235900000,2204300000,1624300000,21111700000
1993,9,"South East","E12000008",46588,28948,431700000,415200000,36748300000,368700000,4267100000,2035300000,43834600000
1993,10,"West Midlands","E12000005",31814,19768,195700000,177400000,20484200000,298600000,2528700000,1703300000,25192300000
1993,11,"North East","E12000001",15820,9830,85500000,55100000,8536900000,174100000,1021900000,474300000,10262300000
1994,1,"South West","E12000009",48837,30346,227300000,293200000,20182100000,244200000,2458500000,1325600000,24503500000
1994,2,"East Midlands","E12000004",30736,19098,199500000,1.73e+08,16544600000,189700000,2.165e+09,1694300000,20766600000
1994,3,"Scotland","S92000003",58626,36429,146100000,126800000,18070700000,332500000,2327600000,1365800000,22223300000
1994,4,"Wales","W92000004",32594,20253,81200000,1.05e+08,11529100000,155300000,1517700000,747400000,14054400000
1994,5,"North West","E12000002",36032,22389,251500000,195800000,24124400000,340600000,2.908e+09,1868700000,29437600000
1994,6,"London","E12000007",14384,8938,278400000,369400000,16062800000,281800000,2010900000,623700000,19348500000
1994,7,"East of England","E12000006",38778,24096,366100000,268700000,23537300000,254400000,3109400000,1790300000,28960100000
1994,8,"Yorkshire and The Humber","E12000003",31159,19361,231600000,169900000,17218400000,235800000,2294300000,1657800000,21576300000
1994,9,"South East","E12000008",46683,29007,432100000,4.14e+08,37566600000,369800000,4.446e+09,2088500000,4.4885e+10
1994,10,"West Midlands","E12000005",31875,19806,195900000,175500000,20876800000,299300000,2627800000,1.75e+09,25729300000
1994,11,"North East","E12000001",15851,9849,85900000,54700000,8675800000,1.73e+08,1062200000,482400000,10448200000
1995,1,"South West","E12000009",48938,30409,233900000,294100000,20585300000,257900000,2532700000,1360400000,25030500000
1995,2,"East Midlands","E12000004",30801,19139,205900000,1.72e+08,16857400000,200800000,2217900000,1750900000,21198900000
1995,3,"Scotland","S92000003",58754,36508,149200000,126300000,18421100000,350900000,2380900000,1398100000,22677400000
1995,4,"Wales","W92000004",32659,20293,83100000,104700000,11739500000,164300000,1556300000,763900000,14328600000
1995,5,"North West","E12000002",36119,22443,260600000,195800000,24607300000,358100000,2988600000,1916700000,30066600000
1995,6,"London","E12000007",14418,8959,283300000,359900000,16003100000,303700000,2.087e+09,608700000,19362500000
1995,7,"East of England","E12000006",38857,24145,378700000,267500000,23980900000,268500000,3196300000,1847900000,2.9561e+10
1995,8,"Yorkshire and The Humber","E12000003",31231,19406,239500000,170900000,17548300000,249400000,2356700000,1716200000,22041500000
1995,9,"South East","E12000008",46792,29075,447400000,409400000,38347700000,388600000,4562100000,2152500000,45860200000
1995,10,"West Midlands","E12000005",31945,19850,202400000,174700000,21274300000,317800000,2.698e+09,1800300000,2.6265e+10
1995,11,"North East","E12000001",15886,9871,89600000,54500000,8810900000,183800000,1080900000,494500000,10624600000
1996,1,"South West","E12000009",49006,30451,228400000,292400000,21073900000,264900000,2645200000,1399900000,25676400000
1996,2,"East Midlands","E12000004",30849,19169,201600000,169500000,17360200000,204900000,2324800000,1809900000,21869300000
1996,3,"Scotland","S92000003",58819,36548,146400000,125600000,18907600000,3.61e+08,2.499e+09,1434100000,23327200000
1996,4,"Wales","W92000004",32707,20323,81200000,103800000,12008100000,168500000,1604300000,803200000,14687800000
1996,5,"North West","E12000002",36177,22479,254900000,191800000,25176700000,365400000,3101800000,1.985e+09,30820800000
1996,6,"London","E12000007",14448,8978,290100000,3.75e+08,16161500000,309600000,2055500000,647200000,19548900000
1996,7,"East of England","E12000006",38919,24183,370700000,266600000,24592200000,272900000,3346400000,1886200000,30364300000
1996,8,"Yorkshire and The Humber","E12000003",31285,19440,234900000,168500000,18047100000,254800000,2.435e+09,1775100000,22680600000
1996,9,"South East","E12000008",46865,29121,438100000,414600000,39510500000,404100000,4.778e+09,2220300000,47327500000
1996,10,"West Midlands","E12000005",31998,19883,197700000,173200000,21808600000,321900000,2808900000,1845700000,26958400000
1996,11,"North East","E12000001",15911,9887,87800000,55100000,8999200000,1.86e+08,1104900000,494800000,1.084e+10
1997,1,"South West","E12000009",49109,30515,229100000,304900000,2.1353e+10,273400000,2769600000,1448200000,2.6149e+10
1997,2,"East Midlands","E12000004",30920,19213,203500000,178300000,17674400000,210600000,2445500000,1846700000,22355600000
1997,3,"Scotland","S92000003",58947,36628,145900000,130200000,19200400000,370700000,2.662e+09,1464300000,23827600000
1997,4,"Wales","W92000004",32776,20366,81200000,110400000,12227900000,174700000,1693600000,817300000,15023800000
1997,5,"North West","E12000002",36278,22542,255800000,203900000,25620900000,3.74e+08,3.223e+09,2068200000,3.149e+10
1997,6,"London","E12000007",14488,9002,289100000,398600000,16229400000,3.15e+08,2105300000,646100000,19694300000
1997,7,"East of England","E12000006",39005,24237,370900000,280600000,25046500000,2.82e+08,3545300000,1.918e+09,31072400000
1997,8,"Yorkshire and The Humber","E12000003",31363,19488,235800000,174400000,1.8303e+10,258700000,2552800000,1813300000,23102200000
1997,9,"South East","E12000008",46982,29193,438300000,437900000,40295100000,420100000,5055800000,2286900000,48495800000
1997,10,"West Midlands","E12000005",32076,19931,198100000,183600000,22186400000,330400000,2951800000,1880400000,27532700000
1997,11,"North East","E12000001",15948,9910,88400000,58800000,9159400000,193200000,1166100000,497600000,11075100000
1998,1,"South West","E12000009",49201,30572,223800000,312500000,21679400000,296400000,2855300000,1529600000,26673200000
1998,2,"East Midlands","E12000004",30975,19247,1.97e+08,182300000,1.7935e+10,211600000,2534300000,1942800000,22806100000
